benchmark,baseline,candidate,fusion_applied_pairs,fusion_applied,delta_speedup_2t,time_ratio_2t,fusion_helps_2t,delta_speedup_4t,time_ratio_4t,fusion_helps_4t,delta_speedup_8t,time_ratio_8t,fusion_helps_8t,fusion_helps_any
gramschmidt,Original,Fusion+Shared,0.0,0,-0.040000000000000036,0.9981884057971014,0,-0.040000000000000036,1.0061538461538462,0,-0.050000000000000044,1.0062111801242235,0,0
gramschmidt,Fusion,Fusion+Shared,0.0,0,0.019999999999999907,0.996376811594203,0,0.06999999999999984,1.0153846153846153,0,0.040000000000000036,0.9968944099378881,0,0
heat-3d,Original,Fusion,0.0,0,-0.43000000000000005,0.9977477477477477,0,-0.7400000000000002,0.9961977186311788,0,-0.7300000000000002,1.0,0,0
heat-3d,Original,Fusion+Shared,0.0,0,-0.59,1.0,0,-1.0200000000000002,0.9849624060150376,0,-0.9800000000000002,1.0114942528735633,0,0
heat-3d,Fusion,Fusion+Shared,0.0,0,-0.15999999999999992,1.002257336343115,0,-0.28,0.9887218045112781,0,-0.25,1.0114942528735633,0,0
jacobi-1d,Original,Fusion,0.0,0,-0.04999999999999993,1.1666666666666665,0,-0.33999999999999997,0.8333333333333334,0,0.17000000000000004,1.5,0,0
jacobi-1d,Original,Fusion+Shared,0.0,0,-0.10999999999999999,1.4,0,-0.4,1.0,0,-0.32999999999999996,1.0,0,0
jacobi-1d,Fusion,Fusion+Shared,0.0,0,-0.06000000000000005,1.2,0,-0.06000000000000005,1.2,0,-0.5,0.6666666666666666,0,0
jacobi-2d,Original,Fusion,0.0,0,-0.52,0.9948717948717949,0,-0.5,1.0051020408163265,0,-0.51,1.0,0,0
jacobi-2d,Original,Fusion+Shared,0.0,0,-0.51,0.9897959183673469,0,-0.44999999999999996,1.042328042328042,0,-0.5,1.0,0,0
jacobi-2d,Fusion,Fusion+Shared,0.0,0,0.010000000000000009,0.9948979591836735,0,0.050000000000000044,1.037037037037037,0,0.010000000000000009,1.0,0,0
lu,Original,Fusion,0.0,0,0.0,1.1067125645438898,0,-0.16999999999999993,0.9868766404199475,0,-0.1499999999999999,0.9973404255319149,0,0
lu,Original,Fusion+Shared,0.0,0,0.0,1.1086206896551725,0,-0.15999999999999992,0.9894736842105262,0,-0.1499999999999999,0.9946949602122016,0,0
lu,Fusion,Fusion+Shared,0.0,0,0.0,1.0017241379310344,0,0.010000000000000009,1.0026315789473683,0,0.0,0.9973474801061007,0,0
ludcmp,Original,Fusion,0.0,0,-0.14,0.9019933554817275,0,-0.07999999999999985,1.0,0,-0.07999999999999985,1.0028490028490027,0,0
ludcmp,Original,Fusion+Shared,0.0,0,-0.14,0.9034941763727121,0,-0.06999999999999984,0.9971910112359551,0,-0.07999999999999985,1.0,0,0
ludcmp,Fusion,Fusion+Shared,0.0,0,0.0,1.0016638935108153,0,0.010000000000000009,0.9971910112359551,0,0.0,0.9971590909090909,0,0
mvt,Original,Fusion,0.0,0,-0.08999999999999997,1.0270270270270272,0,-0.20999999999999996,0.96,0,-0.17999999999999994,1.0,0,0
mvt,Original,Fusion+Shared,0.0,0,-0.07999999999999996,1.0,0,-0.07000000000000006,1.0434782608695652,0,-0.1299999999999999,1.0,0,0
mvt,Fusion,Fusion+Shared,0.0,0,0.010000000000000009,0.9736842105263157,0,0.1399999999999999,1.0869565217391304,0,0.050000000000000044,1.0,0,0
nussinov,Original,Fusion,0.0,0,-0.39,1.005770816158285,0,-0.69,0.9822646657571623,0,-0.7000000000000002,0.9859353023909986,0,0
nussinov,Original,Fusion+Shared,0.0,0,-0.4,1.0,0,-0.69,0.9917355371900828,0,-0.7100000000000002,0.9859353023909986,0,0
nussinov,Fusion,Fusion+Shared,0.0,0,-0.010000000000000009,0.9942622950819674,0,0.0,1.009641873278237,0,-0.010000000000000009,1.0,0,0
seidel-2d,Original,Fusion,0.0,0,-0.31000000000000005,0.6705827067669173,0,0.06000000000000005,1.0198836081474296,0,0.09000000000000008,1.0484700122399022,0,0
seidel-2d,Original,Fusion+Shared,0.0,0,-0.19999999999999996,0.6486363636363637,0,0.26,1.0171704957678356,0,0.30000000000000004,1.0515590473852197,0,0
seidel-2d,Fusion,Fusion+Shared,0.0,0,0.1100000000000001,0.9672727272727273,0,0.19999999999999996,0.9973397823458283,0,0.20999999999999996,1.0029462312791553,0,0
symm,Original,Fusion,0.0,0,-0.3599999999999999,1.0052631578947369,0,-0.6299999999999999,0.991304347826087,0,-0.6299999999999999,1.0,0,0
symm,Original,Fusion+Shared,0.0,0,-0.3699999999999999,0.9947916666666666,0,-0.6099999999999999,1.0,0,-0.6299999999999999,0.9911504424778761,0,0
symm,Fusion,Fusion+Shared,0.0,0,-0.010000000000000009,0.9895833333333334,0,0.020000000000000018,1.0087719298245614,0,0.0,0.9911504424778761,0,0
syr2k,Original,Fusion,0.0,0,-0.050000000000000044,0.9917695473251029,0,-0.040000000000000036,1.0206896551724138,0,-0.07000000000000006,1.0,0,0
syr2k,Original,Fusion+Shared,0.0,0,-0.09999999999999998,0.9917695473251029,0,-0.1399999999999999,1.0068027210884354,0,-0.1499999999999999,1.0,0,0
syr2k,Fusion,Fusion+Shared,0.0,0,-0.04999999999999993,1.0,0,-0.09999999999999987,0.9863945578231292,0,-0.07999999999999985,1.0,0,0
syrk,Original,Fusion,0.0,0,-0.57,1.0,0,-1.0399999999999998,0.9523809523809524,0,-1.0,0.9803921568627452,0,0
syrk,Original,Fusion+Shared,0.0,0,-0.57,1.0,0,-1.02,0.9708737864077671,0,-1.0,0.9803921568627452,0,0
syrk,Fusion,Fusion+Shared,0.0,0,0.0,1.0,0,0.019999999999999796,1.0194174757281553,0,0.0,1.0,0,0
trisolv,Original,Fusion,0.0,0,-0.33000000000000007,1.0,0,-0.55,1.0,0,-0.17000000000000004,1.2999999999999998,0,0
trisolv,Original,Fusion+Shared,0.0,0,-0.37,0.9375000000000001,0,-0.65,0.8999999999999999,0,-0.17000000000000004,1.2999999999999998,0,0
trisolv,Fusion,Fusion+Shared,0.0,0,-0.039999999999999925,0.9375000000000001,0,-0.09999999999999998,0.8999999999999999,0,0.0,1.0,0,0
trmm,Original,Fusion,0.0,0,0.0,1.0434782608695652,0,-0.16999999999999993,0.9222222222222222,0,-0.040000000000000036,1.011904761904762,0,0
trmm,Original,Fusion+Shared,0.0,0,0.010000000000000009,1.0588235294117647,0,-0.08000000000000007,0.9880952380952381,0,0.010000000000000009,1.0493827160493827,0,0
trmm,Fusion,Fusion+Shared,0.0,0,0.010000000000000009,1.0147058823529411,0,0.08999999999999986,1.0714285714285716,0,0.050000000000000044,1.037037037037037,0,0
